Membership No  Date Joined  Active  
    65316      2017-11-9    no    
    47156      2015-2-11    no    
    21709      2019-8-6     no    
    43570      2020-5-24    no    
    99848      2016-4-22    no    
    97166      2017-9-5     no    
    59067      2016-12-25   no    
    54415      2018-5-9     no    
    32611      2018-3-1     no    
    35786      2015-8-15    no    
    98330      2015-2-15    no    
    39204      2017-1-1     no    
    72128      2020-12-18   no    
    35370      2019-10-10   no    
